20190405,13,76696048,11.303
20190406,3 ,76696048,27.375
20190406,0 ,76696048,30.604
20190406,8 ,76696048,28.545
20190406,1 ,76696048,29.726
20190406,6 ,76696048,28.847
20190405,14,76696048,27.094
20190406,9 ,76696048,23.958
20190406,5 ,76696048,25.784
20190405,22,76696048,32.236
20190405,12,76696048,4.912
20190405,18,76696048,36.763
20190405,16,76696048,35.786
20190406,7 ,76696048,31.452
20190405,17,76696048,36.480
20190406,2 ,76696048,28.867
20190405,15,76696048,33.526
20190405,20,76696048,35.273
20190406,11,76696048,20.143
20190405,19,76696048,36.515
20190405,21,76696048,33.724
20190405,23,76696048,31.375
20190406,10,76696048,20.684
20190406,4 ,76696048,25.510
