id    ,name_en_CA                           ,name_fr_CA                           ,lat   ,lon     ,province,city                    ,address
50504 ,University Chicoutimi                ,Universit Chicoutimi                 ,48.416,-71.053 ,5       ,Saguenay                ,"789 Coul. Des tudiants, Chicoutimi"
50604 ,Parc Tremblay                        ,Parc Tremblay                        ,48.234,-78.983 ,5       ,Rouyin-Noranda          ,1570 RUE PARADIS
50803 ,TROIS-RIVIERES-MEES                  ,TROIS-RIVIERES-MEES                  ,46.357,-72.546 ,5       ,Trois-Rivieres          ,"Mauricie English Elementary School, rue Whitehead"
51201 ,Frigon                               ,Frigon                               ,46.554,-72.736 ,5       ,Shawinigan              ,363 RUE FRIGON
51501 ,Zephirin                             ,Zephirin                             ,46.043,-72.660 ,5       ,St-Zephirin-de-Courval  ,701 RANG SAINT-MICHEL
52001 ,Charette                             ,Charette                             ,46.441,-72.893 ,5       ,Charette                ,AU NORD DU 170 2E RANG
52201 ,Saint-Simon                          ,Saint-Simon                          ,45.716,-72.840 ,5       ,Saint-Simon             ,"Derrire le 83, 4e rang Est"
52301 ,Saint Faustin                        ,Saint Faustin                        ,46.035,-74.481 ,5       ,Saint-Faustin-Lac-Carre ,CHEMIN DU LAC (CARIBOU)
52401 ,La Peche                             ,La Peche                             ,45.622,-76.018 ,5       ,La Peche                ,LAC PHILIPPE - MASHAM
52701 ,Temiscaming                          ,Temiscaming                          ,46.721,-79.100 ,5       ,Tmiscaming              ,RUE BOUCHER
52801 ,Auclair                              ,Auclair                              ,47.733,-68.707 ,5       ,Auclair                 ,66 Rang St-Grgoire Nord
53201 ,Pemonca                              ,Pemonca                              ,48.810,-72.739 ,5       ,La Dor                  ,"Route 167, La Dor"
53301 ,Deschambault-Ramco                   ,Deschambault-Ramco                   ,46.682,-71.968 ,5       ,Deschambault            ,"334, 3 E RANG - DESHAMBAULT"
53501 ,Franois                              ,Franois                              ,47.015,-70.864 ,5       ,Saint-Franois           ,"Face au 198 Royale, le d'Orlans"
