Station ID  English Name  Nom en français   Latitude    Longitude        
61703       Oshawa        Oshawa            43.95222    -78.9125         
61802       Guelph        Guelph            43.551611   -80.264167       
62001       North Bay     North Bay         46.323194   -79.449278       
62501       Tiverton      Tiverton          44.314472   -81.549722       
63001       Burlington    Burlington        43.315111   -79.802639       
63301       Dorset        Dorset            45.224278   -78.932944       
63701       Grand Bend    Grand Bend        43.333083   -81.742889       
64001       Experimental  Experimental Lak  49.6638888  -93.7211111111111
64101       Algoma        Algoma            47.035      -84.3811111111111
64401       Egbert        Egbert            44.2325     -79.7813888888889
65001       Barrie        Barrie            44.382361   -79.702306       
65101       Newmarket     Newmarket         44.044306   -79.48325        
65201       Parry Sound   Parry Sound       45.337861   -80.038167       
65301       Port Stanley  Port Stanley      42.672083   -81.162889       
65401       Belleville    Belleville        44.150528   -77.3955         
65801       Chatham       Chatham           42.403694   -82.208306       
65901       Pickle Lake   Pickle Lake       51.44944    -90.2175         
66101       Bonner Lake   Bonner Lake       49.386389   -82.121389       
66201       Petawawa      Petawawa          45.996722   -77.441194       
67001       Milton        Milton            43.52965    -79.862449       
70118       City of Winn  City of Winnipeg  49.93229    -97.11327        
70119       Winnipeg - 6  Winnipeg - 65 El  49.89795    -97.14665        
70203       Assiniboine   Assiniboine Comm  49.84225    -99.919          
70301       Flin Flon     Flin Flon         54.768525   -101.877657      
70501       Thompson      Thompson          55.747194   -97.873528       
80110       Regina        Regina            50.45017    -104.61722       
80211       Corman Park   Corman Park       52.13613    -106.66293       
80402       Prince Alber  Prince Albert     53.201694   -105.75203       
80502       Estevan       Estevan           49.13235    -102.98499       
80901       Bratt's Lake  Bratt's Lake      50.2027777  -104.204166666667
81001       Speedy Creek  Speedy Creek      50.285833   -107.81689       
82001       Pinehouse La  Pinehouse Lake    55.50333    -106.72167       
90120       Edmonton Sou  Edmonton - sud    53.50022    -113.526         
90121       Edmonton Eas  Edmonton - est    53.5475     -113.366666666667
90130       Edmonton Cen  Edmonton - centr  53.54449    -113.49893       
90133       Woodcroft     Woodcroft         53.564411   -113.562583      
90134       Sherwood Par  Sherwood Park     53.53209    -113.32098       
90135       Ardrossan     Ardrossan         53.55469    -113.1449        
90136       St. Albert    St. Albert        53.6269722  -113.6119166     
90222       Calgary Nort  Calgary - nord-o  51.0802777  -114.143055555556
90228       Calgary Cent  Calgary - centre  51.0476111  -114.075166666667
90229       Calgary Sout  Calgary - sud-es  50.955122   -113.969742      
90250       Airdrie       Airdrie           51.26808    -114.03779       
90302       Red Deer - R  Red Deer - River  52.2988888  -113.794166666667
90304       Red Deer - L  Red Deer - Lanca  52.24095    -113.765439      
90402       Crescent Hei  Crescent Heights  50.05325    -110.68849       
90502       Lethbridge    Lethbridge        49.71611    -112.80042       
90601       Fort Saskatc  Fort Saskatchewa  53.71       -113.222222222222
90602       Range Road 2  Range Road 220    53.75236    -113.12589       
90603       Ross Creek    Ross Creek        53.71622    -113.19994       
90604       Scotford      Scotford          53.7914156  -113.078667      
90606       Bruderheim    Bruderheim        53.800119   -112.927797      
90607       Gibbons       Gibbons           53.827241   -113.327174      
90608       Redwater      Redwater          53.951834   -113.105857      
90701       Athabasca Va  Vallée de l'Ath   56.7328     -111.3902        
90702       Patricia McI  Patricia McInnes  56.7522222  -111.476111111111
90801       Fort McKay    Fort McKay        57.189406   -111.640504      
